Nome,Simbolo
FII Rbr Feed,RCFF11
FII Rbr III,RBRI11
FII Rbr Log,RBRL11
FII Rbr Mult,RBRX11
FII Rbr Pcri,RBRY11
FII Rbr Pr,RPRI11
FII Rbr Prop,RBRP11
FII Rbralpha,RBRF11
FII Rbres IV,RBIR11
FII Rbresid2,RBDS11
FII Rbresid3,RSPD11
FII Rbrhgrad,RBRR11
FII Reagmult,RMAI11
FII Rec Fof,RECX11
FII Rec Log,RELG11
FII Rec Rece,RECR11
FII Rec Rend,RECT11
FII Reit Riv,REIT11
FII Riob Ed,RBED11
FII Riob Ff,RBFF11
FII Riob Rc,RCRB11
FII Riob Rr,RBRS11
FII Riob Va,RBVA11
FII Riobcri2,RBVO11
FII Rionegro,RNGO11
FII Riza Akn,RZAK11
FII Riza Tx,RZTR11
FII Rooftopi,ROOF11
FII S F Lima,FLMA11
FII Sant Pap,SADI11
FII Sant Ren,SARE11
FII Sc 401,FISC11
FII Scp,SCPF11
FII Sdi Log,SDIL11
FII Sequoia,SEQR11
FII Serra Vd,SRVD11
FII Shopjsul,JRDM11
FII Sj Au,SJAU11
FII Solarium,SOLR11
FII Sp Downt,SPTW11
FII Spx Syn,SPXS11
FII Suno Cri,SNCI11
FII Sunofofi,SNFF11
FII Supremo,SPMO11
FII Tel Prop,TEPP11
FII Tg Ativo,TGAR11
FII The One,ONEF11
FII Tishman,TSER11
FII Tjk Rend,TJKB11
FII Torde Ei,TORD11
FII Torre Al,ALMI11
FII Torre No,TRNT11
FII Tour V,TCIN11
FII Transinc,TSNC11
FII Trx R II,TRXB11
FII Trx Real,TRXF11
FII Trxe Cor,XTED11
FII Unidades,IDFI11
FII Unimed C,HUCG11
FII Urca Ren,URPR11
FII V Master,VOTS11
FII V Parque,FVPQ11
FII V2 Prop,VVPR11
FII Valor He,VGHF11
FII Valoraip,VGIP11
FII Valreiii,VGIR11
FII Vbi Con,EVBI11
FII Vbi Cri,CVBI11
FII Vbi Log,LVBI11
FII Vbi Pri,PVBI11
FII Vbi Reit,RVBI11
FII Vect Ren,VCRR11
FII Vectis,VCJR11
FII Vers Cri,VSLH11
FII Vidanova,FIVN11
FII Vinci Cr,VCRI11
FII Vinci If,VIFI11
FII Vinci Iu,VIUR11
FII Vinci Lg,VILG11
FII Vinci Of,VINO11
FII Vinci Sc,VISC11
FII Vot Log,VTLT11
FII Vot Sec,VSEC11
FII Vot Shop,VSHO11
FII Vx Xvi,VXXV11
FII W Plaza,WPLZ11
FII Whg Real,WHGR11
FII XP Cred,XPCI11
FII XP Hot,XPHT11
FII XP Indl,XPIN11
FII XP Log,XPLG11
FII XP Macae,XPCM11
FII XP Malls,XPML11
FII XP Prop,XPPR11
FII XP Selec,XPSF11
FII Yuca,YUFI11
FII Zion,ZIFI11
Fleury S.A.,FLRY3
Focus On,POWE3
Fras Le,FRAS3
GafiSA,GFSA3
Generalshopp,GSHP3
Ger Paranap,GEPA3
Ger Paranap,GEPA4
Gerdau Met,GOAU3
Gerdau S.A.,GGBR3
Gerdau S.A.,GGBR4
Getnet Br,GETT11
Getnet Br,GETT3
Getnet Br,GETT4
Getninjas,NINJ3
Gol Linhas Aéreas Inteligentes S.A.,GOLL4
Gp Invest,GPIV33
GPA Companhia Brasileira de Distribuição,PCAR3
Gpc Part,GPCP3
GPS,GGPS3
Grazziotin,CGRA3
Grazziotin,CGRA4
Grendene S.A.,GRND3
Grupo Mateus S.A.,GMAT3
Grupo Sbf,SBFG3
Grupo Soma,SOMA3
Guararapes,GUAR3
Habitasul,HBTS5
Haga S/A,HAGA3
Haga S/A,HAGA4
Hapvida,HAPV3
Hbr Realty,HBRE3
Helbor Empreendimentos S.A.,HBOR3
Hercules,HETA3
Hercules,HETA4
Hidrovias,HBSA3
Hoteis Othon,HOOT4
Hypera S.A.,HYPE3
Igb S/A,IGBR3
Iguatemi Empresa de Shopping Centers S.A.,IGTA3
Ihpardini,PARD3
Inds Romi,ROMI3
Indusval,IDVL3
Indusval,IDVL4
Inepar,INEP3
Inepar,INEP4
Infracomm,IFCM3
Intelbras,INTB3
Inter & Co Inc,INBR31
Intermedica,GNDI3
International Meal Company Alimentacao S.A.,MEAL3
Iochpe-Maxion S.A.,MYPK3
Irani,RANI3
Irani,RANI4
IRB-Brasil Resseguros S.A.,IRBR3
iShares Ibovespa Fundo de Índice ETF,BOVA11
iShares S&P 500 Fundo de Investimento - Investimento No Exterior,IVVB11
Itaú Unibanco Holding S.A.,ITUB4
Itaú Unibanco Holding S.A.,ITUB3
Itaúsa - Investimentos Itaú S.A.,ITSA4
Itausa - Investimentos Itau S.A.,ITSA3
J B Duarte,JBDU3
J B Duarte,JBDU4
Jallesmachad,JALL3
JBS S.A.,JBSS3
JD COM DRN,JDCO34
JereisSAti,JPSA3
JHSF Participacoes S.A.,JHSF3
Joao Fortes,JFEN3
JoSApar,JOPA3
JoSApar,JOPA4
JSL,JSLG3
Kallas,KLAS3
Karsten,CTKA3
Karsten,CTKA4
Kepler Weber,KEPL3
Klabin S/A,KLBN3
Klabin S/A,KLBN4
KLABIN S/A UNT N2,KLBN11
Kora Saude,KRSA3
Lavvi,LAVV3
Le Biscuit,LLBI3
Le Biscuit,LLBI4
Le Lis Blanc,LLIS3
Light S/A,LIGT3
Linx,LINX3
Localiza Rent a Car S.A.,RENT3
Locaweb,LWSA3
Log Com Prop,LOGG3
Log In,LOGN3
Lojas Americ,LAME3
Lojas Americanas S.A.,LAME4
Lojas MariSA,AMAR3
Lojas Renner S.A.,LREN3
Lopes Brasil,LPSB3
Lupatech,LUPA3
M. Dias Branco S.A. Indústria e Comércio de Alimentos,MDIA3
Magazine Luiza S.A.,MGLU3
Mangels Indl,MGEL4
Marcopolo,POMO3
Marcopolo,POMO4
Marfrig Global Foods S.A.,MRFG3
Mater Dei,MATD3
Melhor Sp,MSPA3
Melhor Sp,MSPA4
Meliuz,CASH3
Melnick,MELK3
Merc Brasil,BMEB3
Merc Brasil,BMEB4
Merc Financ,MERC3
Merc Financ,MERC4
Merc Invest,BMIN3
Merc Invest,BMIN4
Metal Iguacu,MTIG4
Metal Leve,LEVE3
Metalfrio,FRIO3
Metalurgica Gerdau S.A.,GOAU4
MetiSA,MTSA3
MetiSA,MTSA4
Mills Estruturas e Servicos de Engenharia S.A.,MILS3
Minerva,BEEF
Minerva,BEEF3
Minupar,MNPR3
Mitre Realty,MTRE3
Mmx Miner,MMXM11
Mmx Miner,MMXM3
Mobly,MBLY3
Mont Aranha,MOAR3
Mosaico,MOSI3
Moura Dubeux,MDNE3
Movida Participacoes S.A.,MOVI3
MRV Engenharia e Participações S.A.,MRVE3
Multilaser,MLAS3
Multiplan Empreendimentos Imobiliários S.A.,MULT3
Mundial,MNDL3
Natura &Co Holding S.A.,NTCO3
Natura Cosméticos S.A.,NATU3
Neoenergia,NEOE3
Neogrid,NGRD3
Nexpe Participações,NEXP3
Nord Brasil,BNBR3
Nordon Met,NORD3
Nubank,NUBR33
Nutriplant,NUTR3
Oceanpact,OPCT3
Odontoprev,ODPV3
Oi,OIBR4
Oi S.A.,OIBR3
Omega Ger,OMGE3
Omegaenergia,MEGA3
Oncoclinicas,ONCO3
Orizon,ORVR3
Osx Brasil,OSXB3
Ourofino S/A,OFSA3
Padtec,PDTC3
Pague Menos,PGMN3
Panatlantica,PATI3
Panatlantica,PATI4
Par Al Bahia,PEAB3
Par Al Bahia,PEAB4
Paranapanema,PMAM3
Pdg Realt,PDGR3
Pet Center Comércio e Participações S.A.,PETZ3
Pet Manguinh,RPMG3
Petróleo Brasileiro S.A. - Petrobras,PETR4
Petróleo Brasileiro S.A. - Petrobras,PETR3
Petrorecôncavo S.A.,RECV3
Petrorio,PRIO3
Pettenati,PTNT3
Pettenati,PTNT4
Pine,PINE4
Planoeplano,PLPL3
Plascar Part,PLAS3
Pomifrutas,FRTA3
Porto Seguro S.A.,PSSA3
Porto Vm,PSVM11
Portobello,PTBL3
Positivo Tec,POSI3
Ppla,PPLA11
Priner,PRNR3
Profarma,PFRM3
Qualicorp Consultoria e Corretora de Seguros S.A.,QUAL3
Quero Quero,LJQQ3
Raia Drogasil S.A.,RADL3
Raizen,RAIZ4
Randon Part,RAPT3
Randon Part,RAPT4
Recrusul,RCSL3
Recrusul,RCSL4
Rede D Or,RDOR3
Rede Energia,REDE3
Renova,RNEW11
Renova,RNEW3
Renova,RNEW4
Riosulense,RSUL4
Rni,RDNI3
Rodobens,RBNS11
Rossi Resid,RSID3
Rumo S.A.,RAIL3
Sanepar,SAPR11
Sanepar,SAPR3
Sanepar,SAPR4
Sansuy,SNSY3
Sansuy,SNSY5
Sansuy,SNSY6
Santander Br,SANB4
Santanense,CTSA3
Santanense,CTSA4
Santos Brp,STBP3
Sao Carlos,SCAR3
Sao Martinho,SMTO3
Saraiva Livr,SLED3
Saraiva Livr,SLED4
Schulz,SHUL4
Seg Al Bahia,CSAB3
Seg Al Bahia,CSAB4
Sequoia Log,SEQL3
Ser Educa,SEER3
Simpar,SIMH3
Sinqia S.A.,SQIA3
Slc Agricola,SLCE3
Smart Fit,SMFT3
Smiles Fidelidade S.A.,SMLS3
Sondotecnica,SOND3
Sondotecnica,SOND5
Sondotecnica,SOND6
Springs,SGPS3
Spturis,AHEB3
Spturis,AHEB5
Spturis,AHEB6
Sul America,SULA11
Sul America,SULA3
Sul America,SULA4
Suzano S.A.,SUZB3
SYN Prop e Tech,SYNE3
TaeSA,TAEE3
TaeSA,TAEE4
Taurus Armas,TASA3
Taurus Armas S.A.,TASA4
Tc,TRAD3
Technos,TECN3
Tecnisa S.A.,TCSA3
Tecnosolo,TCNO3
Tecnosolo,TCNO4
Tegma,TGMA3
Tegra Incorporadora,TEGA3
Teka,TEKA3
Teka,TEKA4
Tekno,TKNO4
Telebras,TELB3
Telebras,TELB4
Telef Brasil,VIVT3
Telefônica Brasil S.A.,VIVT4
Tenda,TEND3
Terniumsa DRN,TXSA34
Terra Santa,TESA3
TerraSAntapa,LAND3
Tex Renaux,TXRX3
TIM S.A.,TIMS3
Time For Fun,SHOW3
TOTVS S.A.,TOTS3
Track Field,TFCO4
Tran Paulist,TRPL3
Tran Paulist,TRPL4
Transmissora Aliança de Energia Elétrica S.A.,TAEE11
TreviSA,LUXM4
Trisul,TRIS3
Triunfo Part,TPIS3
Tupy,TUPY3
Ultrapar Participações S.A.,UGPA3
UnicaSA,UCAS3
Unipar,UNIP3
Unipar,UNIP5
Unipar,UNIP6
Usiminas,USIM3
Usiminas,USIM6
Usinas Siderúrgicas de Minas Gerais S.A.,USIM5
Vale S.A.,VALE3
Valid Solucoes S.A.,VLID3
Vamos,VAMO3
Via Varejo S.A.,VIIA3
Vibra Energia S.A.,VBBR3
Vittia Fertilizantes S.A.,VITT3
Vivara Participacoes S.A.,VIVA3
Viveo,VVEO3
Viver,VIVR3
Vulcabras,VULC3
Wdc Networks,LVTC3
WEG S.A.,WEGE3
Westwing,WEST3
Wetzel S/A,MWET3
Wetzel S/A,MWET4
Whirlpool,WHRL3
Whirlpool,WHRL4
Wilson Sons,WSON33
Wiz Solucoes e Corretagem de Seguros S.A.,WIZS3
Wlm Ind Com,WLMM3
Wlm Ind Com,WLMM4
XP Inc,XPBR31
